account_number,account_type,date,operation,amount,balance_after,status
ACC-100004,savings,2025-09-25 22:17:26,deposit,126.0,4302.0,success
ACC-100004,savings,2025-09-27 22:17:26,withdraw,-459.0,3843.0,success
ACC-100004,savings,2025-09-28 22:17:26,deposit,417.0,4260.0,success
ACC-100004,savings,2025-09-29 22:17:26,withdraw,424.0,3836.0,succes
ACC-100004,savings,2025-09-30 22:17:26,deposit,720.0,4556.0,succes
ACC-100004,savings,01/10/2025 22:17,withdraw,309.0,4247.0,success
ACC-100004,savings,2025-10-01 22:17:26,deposit,584.0,4831.0,success
ACC-100004,savings,2025-10-02 22:17:26,deposit,937.0,5768.0,success
ACC-100004,savings,2025-10-04 22:17:26,withdraw,,5715.0,success
ACC-100004,savings,2025-10-05 22:17:26,withdraw,209.0,5506.0,success
ACC-100004,savings,2024-17-35 12:00:00,deposit,533.0,6039.0,success
ACC-100004,savings,2025-10-09 22:17:26,deposit,562.0,6601.0,success
ACC-100004,savings,2025-10-09 22:17:26,deposit,365.0,6966.0,success
ACC-100004,savings,2025-10-09 22:17:26,deposit,573.0,7539.0,success
ACC-100004,savings,2025-10-11 22:17:26,interest,376.95,7915.95,succes
ACC-100004,savings,2025-10-13 22:17:26,withdraw,291.0,7624.95,success
ACC-100004,savings,2025-10-15 22:17:26,deposit,789.0,8413.95,success
ACC-100004,savings,2025-10-15 22:17:26,deposit,-307.0,8720.95,success
ACC-100004,savings,2025-16-35 12:00:00,withdraw,191.0,8529.95,success
ACC-100004,savings,2025-10-17 22:17:26,deposit,864.0,9393.95,success
ACC-100004,savings,2025-10-19 22:17:26,deposit,671.0,10064.95,success
ACC-100004,savings,2025-10-19 22:17:26,interest,503.25,10568.2,success
ACC-100004,savings,2025-10-19 22:17:26,,412.0,10156.2,success
ACC-100004,savings,2025-10-19 22:17:26,deposit,696.0,10852.2,success
ACC-100002,savings,09/10/2025 22:17,deposit,638.0,5241.27,success
ACC-100003,checking,2025-10-12 22:17:26,deposit,-115.0,3547.0,success
ACC-100004,savings,01/10/2025 22:17,withdraw,309.0,4247.0,success
ACC-100002,savings,2025-10-19 22:17:26,withdraw,300.0,6042.66,succes
ACC-100001,checking,2025-10-16 22:17:26,withdraw,393.0,7431.0,success
